model,axis,slope,intercept,r_squared,p_value
gemini-3-flash,grammar,-6.814444444444445,7.285777777777778,0.7624787962084537,0.0
gemini-3-flash,coherence,-5.580000000000005,7.720444444444446,0.5805299515250689,0.0
gemini-3-flash,information,-7.054444444444448,8.025333333333336,0.7908461393098339,0.0
gemini-3-flash,lexical,-5.255555555555558,7.696444444444445,0.5981041406806694,0.0
gemma2-9b,grammar,-4.766666666666671,8.006666666666668,0.7033794823286618,0.0
gemma2-9b,coherence,-2.0233333333333343,8.116,0.41717504528985544,7.593342579356106e-266
gemma2-9b,information,-3.6322222222222225,8.331555555555555,0.6305961451967322,0.0
gemma2-9b,lexical,-1.6888888888888902,8.031555555555556,0.33516612802754275,1.5579316001560133e-201
gpt-5-mini,grammar,-6.816666666666674,6.1586666666666705,0.6295340632793872,0.0
gpt-5-mini,coherence,-4.77666666666667,7.652000000000001,0.47394828385257537,0.0
gpt-5-mini,information,-7.865555555555553,7.015111111111111,0.7760141816405199,0.0
gpt-5-mini,lexical,-6.383333333333337,6.80088888888889,0.638716254258767,0.0
gpt-oss-120b-fireworks,grammar,-5.161111111111112,5.601777777777778,0.5172601078371958,0.0
gpt-oss-120b-fireworks,coherence,-3.356666666666668,6.440444444444445,0.1760121462955536,1.251162217986235e-96
gpt-oss-120b-fireworks,information,-6.083333333333342,6.479111111111115,0.5638301482186874,0.0
gpt-oss-120b-fireworks,lexical,-4.552222222222223,6.064444444444446,0.37675662846564983,4.294015425408459e-233
llama3.1-8b,grammar,-3.697777777777778,8.330666666666668,0.4363577681849353,3.418112690341023e-282
llama3.1-8b,coherence,-0.6922222222222227,8.598222222222223,0.15606049274600148,6.342067758879158e-85
llama3.1-8b,information,-1.2466666666666673,8.69688888888889,0.28099035571880393,2.9578481893155296e-163
llama3.1-8b,lexical,-0.6477777777777782,8.580444444444446,0.12368406305289402,1.694797346751876e-66
minimax-m2p1-fireworks,grammar,-5.59116194523493,6.205138468096095,0.27438350969235376,5.9986263787448574e-158
minimax-m2p1-fireworks,coherence,-2.0356005271288984,7.199316890551501,0.0843619004634517,1.387973890701786e-44
minimax-m2p1-fireworks,information,-5.561022637720463,7.243364495701671,0.3368121044852238,2.5698274427312413e-201
minimax-m2p1-fireworks,lexical,-3.7299125878165516,7.07339964643814,0.22429171925199812,3.676281334516739e-125
mistral-7b,grammar,-0.40666666666666684,8.704444444444444,0.040634864395746206,4.645580489374984e-22
mistral-7b,coherence,-0.28111111111111126,8.621777777777778,0.021347946616292652,3.304455486361628e-12
mistral-7b,information,-0.41222222222222227,8.736,0.045440319572143,1.5558854706142221e-24
mistral-7b,lexical,-0.025555555555555543,8.695555555555554,0.00020725006973631814,0.49490590845508164
phi4-14b,grammar,-2.767777777777779,7.804444444444444,0.5589670567764384,0.0
phi4-14b,coherence,-0.46777777777777796,7.944,0.08752287561688861,1.102694103469149e-46
phi4-14b,information,-3.091111111111113,8.273777777777779,0.5682099434339382,0.0
phi4-14b,lexical,-0.8955555555555551,7.939555555555556,0.16374879262122696,2.110766175656717e-89
phi4-mini,grammar,-1.1231296442055643,8.556646733532842,0.08680391149344123,3.3710819375104872e-46
phi4-mini,coherence,-0.4710780434314807,8.587194858318831,0.02731237433894653,3.218935572587472e-15
phi4-mini,information,-1.3533333333333335,8.81288888888889,0.16624244805329702,7.3008493726428e-91
phi4-mini,lexical,-0.22666666666666677,8.673777777777778,0.007924876678437697,2.350195250296114e-05
qwen2.5-14b,grammar,-5.970000000000004,6.696888888888891,0.6150684382819752,0.0
qwen2.5-14b,coherence,-1.2055555555555555,7.899555555555556,0.10360107288020522,2.128873650457614e-55
qwen2.5-14b,information,-6.6433333333333335,8.374666666666666,0.6986755933744134,0.0
qwen2.5-14b,lexical,-4.464444444444449,7.8897777777777796,0.36594762484266724,1.077955147338093e-224
qwen2.5-7b,grammar,-0.7455555555555561,8.844,0.15210680154809167,1.2282992808430725e-82
qwen2.5-7b,coherence,-0.537222539886536,8.822047626048931,0.08596666601640639,8.267153629397012e-46
qwen2.5-7b,information,-0.8411111111111117,8.906666666666666,0.1948932803958206,5.7488474253997725e-108
qwen2.5-7b,lexical,-0.22111111111111115,8.830222222222222,0.019173729941928275,4.214840494188929e-11
