method,model_set,n_models,mean_spearman_rho,mean_compression_ratio,mean_pairwise_accuracy,mean_wasserstein,mean_dose_response_slope
asymmetry_fix_alpha=0.0,all_11,9,0.4903,0.5792,0.6492,2.8328,-2.2366
asymmetry_fix_alpha=0.0,logprob_9,9,0.4903,0.5792,0.6492,2.8328,-2.2366
aux_best,all_11,9,0.4959,0.9192,0.7022,1.4967,-4.1183
aux_best,logprob_9,9,0.4959,0.9192,0.7022,1.4967,-4.1183
contrastive_anchor_A,all_11,2,0.7272,0.75,0.7556,1.5132,-5.8032
contrastive_anchor_A,api_2,2,0.7272,0.75,0.7556,1.5132,-5.8032
expected_score,all_11,9,0.4903,0.5792,0.6492,2.8328,-2.2366
expected_score,logprob_9,9,0.4903,0.5792,0.6492,2.8328,-2.2366
quantile_beta,all_11,11,0.5141,0.8353,0.5636,1.5897,-3.7025
quantile_beta,logprob_9,9,0.4583,0.8465,0.5183,1.632,-3.2279
quantile_beta,api_2,2,0.7649,0.7848,0.7672,1.3992,-5.8383
quantile_uniform,all_11,11,0.5141,0.9241,0.5636,1.2367,-4.9606
quantile_uniform,logprob_9,9,0.4583,0.9218,0.5183,1.2827,-4.3617
quantile_uniform,api_2,2,0.7649,0.9348,0.7672,1.0294,-7.6558
raw,all_11,11,0.5141,0.7,0.5636,2.5365,-3.1184
raw,logprob_9,9,0.4583,0.6889,0.5183,2.7738,-2.4073
raw,api_2,2,0.7649,0.75,0.7672,1.4682,-6.3184
